i_iso3,j_iso3,q025,q500,q975
AUT,AUS,2.652089281627467,2.849302905640977,3.0309409661903794
BGR,AUS,5.580311971427469,6.125675245859199,6.51283021305496
BNL,AUS,1.9086024851774823,2.1221285796616582,2.3020393987723335
BRA,AUS,2.865381903912602,3.120459606743635,3.4058641439011437
CAN,AUS,2.2844737330679257,2.4209770139457647,2.577553542359567
CHL,AUS,3.089938371318128,3.3581208352290437,3.583939571606538
CHN,AUS,2.2843292061693514,2.4507628783964455,2.716234223654163
COL,AUS,5.5051366415271765,6.0475357997728105,6.778016354985328
CYP,AUS,4.244486514544695,4.74063074804568,5.173566341695985
CZE,AUS,3.469874008627242,3.7067253860947345,3.9156136983045218
DEU,AUS,1.992682024502203,2.1490316072227795,2.296046104610774
DNK,AUS,2.1935103605140016,2.3369006351111414,2.4874507786750604
ELL,AUS,3.9004737349529623,4.203326480633999,4.577061531323189
ESP,AUS,2.82511038794482,2.9904367538044747,3.171411893211688
FIN,AUS,2.6052718733486344,2.787060553428215,2.96669792822715
FRA,AUS,2.191841266141806,2.3560377636130054,2.4941018044621748
GBR,AUS,2.324402926261442,2.476738382410754,2.676339799950765
GRC,AUS,3.6347960758357765,3.851883110770342,4.121610528544229
HUN,AUS,3.677166251078428,3.96432827721734,4.253607101527113
IDN,AUS,3.3450529840322263,3.705383922299329,4.111087567717175
IND,AUS,5.0228112868299615,5.5361443005531745,6.34434060221159
IRL,AUS,2.44712030198281,2.597395974017318,2.7956818193106345
ISR,AUS,2.694526721510952,2.9203248200105216,3.1198853229585928
ITA,AUS,2.2879923694192916,2.4031914929588805,2.549169706962291
JPN,AUS,1.4778705530384393,1.6229102433987477,1.7639288084714915
KOR,AUS,2.1651889370503374,2.4368821144572457,2.6414905655225676
MEX,AUS,3.500941686269992,3.7113118237894342,3.949209339853255
MYSG,AUS,2.198179967528056,2.413582210344637,2.7010662760921766
NZL,AUS,2.0574975728215907,2.1941360587643226,2.3220143728643405
PER,AUS,4.709802786848705,5.096309129797792,5.570535349279549
PHL,AUS,5.207914043044256,5.765940452969808,6.433860834507616
POL,AUS,4.198140744383855,4.511309785990999,4.7727402386273035
PRT,AUS,3.8897136466630498,4.143848683970377,4.446542997587448
ROU,AUS,5.27733913942407,5.6950047876910475,6.031604927982816
RoW,AUS,2.33233264003041,2.4807548451191703,2.664148088631185
RUS,AUS,4.22704491383263,4.4272000644222995,4.862722900794774
SVK,AUS,3.676383991896161,3.914208619379316,4.202502553374602
SVN,AUS,3.9945315346102346,4.361791370801581,4.660175878897702
SWE,AUS,2.1454043217254744,2.2824913766667168,2.440679097712107
THA,AUS,3.416051978083426,3.709282419960024,4.0793163995931465
TUR,AUS,3.703191224552857,4.0387133536902855,4.401252933670014
USA,AUS,2.282542724918417,2.37894814061168,2.4870269035342476
VNM,AUS,4.381810222388033,4.845163366617625,5.397306993395276
ZAF,AUS,3.4144914644757742,3.831628490041151,4.239546562377038
AUS,AUT,2.4532967864392514,2.5971481808954375,2.795549170725729
BGR,AUT,2.987384409417225,3.2489280482063068,3.45835938255221
BNL,AUT,1.243863875485976,1.4151750543128467,1.534739811501817
BRA,AUT,2.1353323854613393,2.3428651379862586,2.573641089501902
CAN,AUT,2.1174069269752707,2.2633267534178314,2.390299933994723
CHL,AUT,2.989022843612951,3.239441971340809,3.519213619993458
CHN,AUT,2.088029513803689,2.32490535611924,2.4937778543800966
COL,AUT,4.183576808474075,4.587852273540666,5.11608641805536
CYP,AUT,2.3857740327712214,2.62877497236496,2.833870942505155
CZE,AUT,1.7765993533902718,1.9190818624332016,2.0432507702580516
DEU,AUT,1.1627792298319282,1.28240518061167,1.3608072323703897
DNK,AUT,1.8083257388646485,1.9396990155274239,2.085267116061628
ELL,AUT,2.6970886770162785,2.8997432370734204,3.121091669087642
ESP,AUT,2.05668390602843,2.182048112479869,2.3127063406540707
FIN,AUT,2.0847226311418403,2.2326896075073153,2.3707607975421183
FRA,AUT,1.6910186164261307,1.8229091284892311,1.946038868534286
GBR,AUT,2.0336946355451753,2.1748203768586025,2.3258105017981316
GRC,AUT,2.5628480795677255,2.742674566979501,2.9466445871455327
HUN,AUT,1.9104432077841627,2.0956039150873673,2.2850606986050668
IDN,AUT,3.735721502159489,4.158775331356535,4.6574245883780385
IND,AUT,4.24402690781398,4.819294138032942,5.598978363325662
IRL,AUT,2.131030522560845,2.298056847221966,2.464352643468949
ISR,AUT,2.383990453614105,2.5656430670934425,2.7940063619279485
ITA,AUT,1.5347087253588496,1.6271211688691638,1.7363894255192367
JPN,AUT,1.4461949325859162,1.5910563553916555,1.705390835589914
KOR,AUT,2.212276541114448,2.451226358930833,2.747313357423401
MEX,AUT,3.346832195176299,3.636809612736564,3.8748987254635683
MYSG,AUT,2.7205995440757924,2.978271564517283,3.316827038645272
NZL,AUT,2.696637437565232,2.868526803710357,3.0960062724305337
PER,AUT,4.446905297084769,4.838762202498173,5.3414471742242196
PHL,AUT,4.237690683490623,4.6797828421611865,5.269967444032416
POL,AUT,2.4068052617378575,2.560975442249755,2.76532431348132
PRT,AUT,2.477197736061182,2.6189351725896453,2.8367041077021007
ROU,AUT,2.581743013182952,2.7440516688946737,2.9417165091241064
RoW,AUT,1.8027649306182019,1.9434014363627297,2.124654760551099
RUS,AUT,2.8747757310755206,3.1135745282610277,3.4117618938314482
SVK,AUT,1.7165266924747467,1.8392996345926167,1.981592908297789
SVN,AUT,1.8334528253375475,2.0032013867273855,2.144573084140296
SWE,AUT,1.6825394173162453,1.8079958180458142,1.9179971060730607
THA,AUT,3.7804183253261483,4.057752040751121,4.553868815445409
TUR,AUT,2.4709905716949283,2.6859845212064988,2.8738842304881294
USA,AUT,2.1608384882780287,2.2803317248464436,2.37281351359826
VNM,AUT,4.001190298334668,4.554598801434738,5.092808194717602
ZAF,AUT,2.9877665924336463,3.3555057045553456,3.6598737796158343
AUS,BGR,1.8916344749785805,2.015583067405742,2.203650652880656
AUT,BGR,1.132096599798765,1.2069236568854715,1.309092716125781
BNL,BGR,0.9512907136235096,1.0587066336832012,1.142489504977815
BRA,BGR,1.3823064826531304,1.5088768462754967,1.6695055380938544
