Name,ccode,pppReal,expReal,gdpUSDT,expShareT
Animal drawn vehicles,AUS,1.5990939366988013,0,410366207611.79,0
Animal drawn vehicles,BRA,0.5546842779658436,3586734.462661581,987101604734.631,3.6336020987685727e-6
Animal drawn vehicles,CAN,1.3390520236089418,0,504068428113.4744,0
Animal drawn vehicles,CHL,0.8675164007483253,0,97256116028.83278,0
Animal drawn vehicles,CHN,0.2530480196975593,0,2548185298532.511,0
Animal drawn vehicles,COL,0.3651721027970436,0,124398941565.95387,0
Animal drawn vehicles,EU,1.1719458311075504,1373849.2911564778,5859159613535.026,2.3447889830186562e-7
Animal drawn vehicles,IDN,0.38003266529829893,0,347358927915.7229,0
Animal drawn vehicles,IND,0.19622708539868292,0,863763756060.2175,0
Animal drawn vehicles,ISR,1.2367861379181082,0,80940492070.38477,0
Animal drawn vehicles,JPN,1.5083967441099153,0,2021638224400.7524,0
Animal drawn vehicles,KOR,0.8327499157019832,0,346737064565.3099,0
Animal drawn vehicles,MEX,0.7728737739658047,1431423.2128339494,476386003517.584,3.0047549723637373e-6
Animal drawn vehicles,MYSG,0.19307656873155343,0,148201628667.646,0
Animal drawn vehicles,NZL,1.3100677759000356,0,54312692779.97695,0
Animal drawn vehicles,PER,0.32163137697674415,0,70766324607.54346,0
Animal drawn vehicles,PHL,0.14548333663333918,0,116862082387.78627,0
Animal drawn vehicles,RoW,0.47467446013224834,434655981.61383414,3953264466259.4966,1.0994862229014933e-4
Animal drawn vehicles,RUS,0.6112249072511293,0,793246609212.229,0
Animal drawn vehicles,THA,0.1571848329132103,0,188991157433.48123,0
Animal drawn vehicles,TUR,0.7521857529163298,0.5946335090506868,426950403300.6212,1.3927460999070606e-12
Animal drawn vehicles,USA,1,0,4714580039654.105,0
Animal drawn vehicles,VNM,0.1365662431378408,0,59056391694.1914,0
Animal drawn vehicles,ZAF,0.27805523549932004,0,165367298474.65317,0
"Appliances, articles and products for personal care",AUS,1.4073359442207591,11395193239.549213,410366207611.79,0.02776835184813552
"Appliances, articles and products for personal care",BRA,1.1700180526964765,23148784222.017845,987101604734.631,0.023451267945452367
"Appliances, articles and products for personal care",CAN,1.3903702994518412,13988832634.744337,504068428113.4744,0.027751852436183944
"Appliances, articles and products for personal care",CHL,1.0600995138604994,3386118105.73904,97256116028.83278,0.034816505573132116
"Appliances, articles and products for personal care",CHN,0.9410724849559046,13115415162.970102,2548185298532.511,0.0051469628878728765
"Appliances, articles and products for personal care",COL,1.193552033038606,7367410552.914397,124398941565.95387,0.059224061396120006
"Appliances, articles and products for personal care",EU,1.0197650271183547,147141063794.77866,5859159613535.026,0.0251129980236199
"Appliances, articles and products for personal care",IDN,0.47040573026910426,11616276770.817104,347358927915.7229,0.0334417106838707
