iso3,priceIndex,expT,gdpUSDT,pop,gdpUSD,netExports,expUSD,gdppc,year,Tshare
AUS,1.5056198888265107,410366207611.79,410366207611.79,22761202,1490037268054.5825,19388052973.656548,1470649215080.926,65463.90950946187,2011,0.27903745053793033
BRA,1.2213577009181877,987101604734.6311,987101604734.6311,192379000,2476648119770.163,-18163008834.033813,2494811128604.197,12873.796619018516,2011,0.3956618572913362
CAN,1.3824407479212644,504068428113.4744,504068428113.4744,34482779,1778342467290.0596,-22099358180.79474,1800441825470.8542,51571.90107241819,2011,0.2799692947488874
CHL,1.077871963710475,97256116028.83278,97256116028.83278,17268245,251190272575.21802,8233877932.796876,242956394642.42114,14546.369510927023,2011,0.4003027628557486
CHN,0.9045151165861908,2548185298532.511,2548185298532.511,1341981190,7321935025069.656,188243794790.21472,7133691230279.441,5456.063825357833,2011,0.3572043162895198
COL,0.9469278994741476,124398941565.95387,124398941565.95387,47092580,336346424122.3475,-2902919918.9472504,339249344041.29474,7142.23820657835,2011,0.36668881974554846
EU,1.198235958303414,5859159613535.026,5859159613535.026,502384800,17599892240775.68,189898807571.86697,17409993433203.812,35032.69255115935,2011,0.3365400243265236
IDN,0.7723547387118511,347358927915.7229,347358927915.7229,241038000,846341442729.5549,11943605979.180052,834397836750.3749,3511.236579832039,2011,0.4162989315367096
IND,0.5606304249325124,863763756060.2175,863763756060.2175,1215957000,1863985737014.2124,-105730337892.17844,1969716074906.3909,1532.937214896754,2011,0.4385219611416672
ISR,1.3787859856127769,80940492070.38477,80940492070.38477,7763500,258207189071.68912,-1283072442.8682022,259490261514.5573,33259.121410663894,2011,0.3119211164147832
JPN,1.6507116872847098,2021638224400.7524,2021638224400.7524,127831000,5897016865688.477,-53672560051.12334,5950689425739.6,46131.352063963175,2011,0.33973176547513856
KOR,1.156143162225139,346737064565.3099,346737064565.3099,49779400,1114474099739.2378,22502955002.751987,1091971144736.4858,22388.258993463918,2011,0.3175331749713811
MEX,0.8869690312015927,476386003517.584,476386003517.584,115682868,1170133745784.1316,-14725579837.885267,1184859325622.0168,10115.013277369053,2011,0.4020612347946834
MYSG,0.9346571165258785,148201628667.646,148201628667.646,34147700,554661222086.7461,122131150830.5884,432530071256.1577,16243.003835887808,2011,0.3426389019316911
NZL,1.3164112629102405,54312692779.97695,54312692779.97695,4414600,161534147015.83914,2271201169.174863,159262945846.66428,36590.89091103138,2011,0.3410252930538426
PER,0.8913410662924656,70766324607.54346,70766324607.54346,29797694,180741595432.62772,7771281725.427544,172970313707.20016,6065.623582570776,2011,0.40912410396234195
PHL,0.6987952168333768,116862082387.78627,116862082387.78627,94185000,224095239762.1122,-8174114931.5213785,232269354693.6336,2379.309229305221,2011,0.5031317305803382
RoW,0.9162463031563929,3953264466259.4966,3953264466259.4966,2205922232,9861563586224.756,857255066279.1838,9004308519945.572,4470.494672554149,2011,0.4390414275013527
RUS,0.8319989365424386,793246609212.229,793246609212.229,142960899.99999997,1901035445367.1675,162731505645.23267,1738303939721.9348,13297.590077896599,2011,0.45633366587152735
THA,0.7050829699907362,188991157433.48123,188991157433.48123,67597000,364705996816.624,6238164395.18374,358467832421.4403,5395.298560832936,2011,0.5272192937281183
TUR,0.9875625317460178,426950403300.6212,426950403300.6212,73950000,771663753866.3154,-66909589558.805,838573343425.1205,10434.939200355855,2011,0.5091390116894948
VNM,0.604243680153823,59056391694.1914,59056391694.1914,87840040,135539450067.62987,-5601601990.27287,141141052057.90274,1543.0258236179068,2011,0.4184210818406233
ZAF,0.9742597202346029,165367298474.65317,165367298474.65317,50459978,401802575291.3325,-2481020503.021225,404283595794.35376,7962.797274531759,2011,0.40903786400171
USA,1,4714580039654.105,4714580039654.105,312036000,15533799999999.996,-568700000000,16102499999999.996,49782.076427078915,2011,0.292785594761938
