i_iso3,j_iso3,year,tau,tauAlt
BRA,AUS,2011,3.13069985177156,1.9568153747220427
CAN,AUS,2011,2.4576592131657344,1.6529511690736975
CHL,AUS,2011,3.43604488587437,2.217078628294384
CHN,AUS,2011,2.479534780634862,2.0301734346133
COL,AUS,2011,6.096963629235012,3.177406384963556
EU,AUS,2011,1.875300994020174,1.5276073562866312
IDN,AUS,2011,3.6653824994182305,2.698967754030715
IND,AUS,2011,5.614171752409609,3.9287239524223017
ISR,AUS,2011,2.9550499708719546,1.8351637790640705
JPN,AUS,2011,1.636004841377912,1.2413800163479243
KOR,AUS,2011,2.4301033209563907,1.8095800860500308
MEX,AUS,2011,3.7345246839877007,2.537782128746051
MYSG,AUS,2011,2.4282206357761713,2.004614297099743
NZL,AUS,2011,2.225995825004535,1.6184931452233107
PER,AUS,2011,5.119996385920027,2.8798697692282946
PHL,AUS,2011,5.805494669612623,3.6277422862484214
RoW,AUS,2011,2.5064805850832856,2.035910192731332
RUS,AUS,2011,4.489505321445567,2.881465856906843
THA,AUS,2011,3.7614697500820222,2.870907504791491
TUR,AUS,2011,4.0824305268735355,2.5106724865587107
USA,AUS,2011,2.3968685382070833,1.903753993847789
VNM,AUS,2011,4.85386972559904,3.5150742674136017
ZAF,AUS,2011,3.8708919148748193,2.491408135143924
AUS,BRA,2011,2.1217848141480697,1.3302482568991116
CAN,BRA,2011,2.0386619092201035,1.3606449465551713
CHL,BRA,2011,2.436810853738475,1.6696928708413004
CHN,BRA,2011,2.2308170199718034,1.7220512183327126
COL,BRA,2011,3.404454589919723,2.144676857907374
EU,BRA,2011,1.6896029835484672,1.3262508503919035
IDN,BRA,2011,3.741152970796425,2.442500639379498
IND,BRA,2011,4.318329898613296,3.0747087548502328
ISR,BRA,2011,2.4788273690967513,1.508360732749247
JPN,BRA,2011,1.6028364833146138,1.1012044187901204
KOR,BRA,2011,1.9687281629066435,1.4523052045918692
MEX,BRA,2011,2.9488671832516586,2.0612337310301347
MYSG,BRA,2011,2.7762386318223804,1.943452097497541
NZL,BRA,2011,3.9659875202093167,1.9975900555522441
PER,BRA,2011,3.5050740593053855,2.2296168832427288
PHL,BRA,2011,5.407057311387274,3.1489997375443535
RoW,BRA,2011,2.02338880932566,1.6495058894575811
RUS,BRA,2011,3.341973254378328,2.197760826825346
THA,BRA,2011,3.946945593495474,2.647879156619647
TUR,BRA,2011,3.3470967363193176,2.0644653356534075
USA,BRA,2011,2.0739031977430384,1.6063666430611006
VNM,BRA,2011,5.099446364338387,3.2367832564642454
ZAF,BRA,2011,3.4660186898425613,2.1405938468245616
AUS,CAN,2011,2.1694720568629418,1.40612226547291
BRA,CAN,2011,2.5168107414925855,1.7000596159047778
CHL,CAN,2011,3.0369655627972443,2.0132254081343515
CHN,CAN,2011,2.3054982124668038,1.8753795918923013
COL,CAN,2011,3.972714125743649,2.459820545403052
EU,CAN,2011,1.7985638762401641,1.4575639722983025
IDN,CAN,2011,4.217990152354167,2.7707599832398206
IND,CAN,2011,5.213410726813442,3.6083665755095646
ISR,CAN,2011,2.7756999011635304,1.7151779756093863
JPN,CAN,2011,1.641114417809031,1.1993052683844103
KOR,CAN,2011,2.3669738774035944,1.7232009535084638
MEX,CAN,2011,2.558331349787525,2.028856659519649
MYSG,CAN,2011,2.994067333113385,2.1513988554504175
NZL,CAN,2011,2.996259270467711,1.8061904972470246
PER,CAN,2011,3.235062197589392,2.2802062552862203
PHL,CAN,2011,5.081999539222116,3.2457881961047175
RoW,CAN,2011,2.2398004374913443,1.8460104480505826
RUS,CAN,2011,4.200727408662586,2.6862905163899966
THA,CAN,2011,4.173513921481958,2.8923257454282454
TUR,CAN,2011,3.536962439951431,2.270330704275054
USA,CAN,2011,1.7200852590711448,1.5476315856174594
VNM,CAN,2011,4.998287761605565,3.4019879163686753
ZAF,CAN,2011,3.290666369028127,2.152382998305275
AUS,CHL,2011,1.7009355081848105,1.1201635899306672
BRA,CHL,2011,1.5092537692472343,1.1617249104677299
CAN,CHL,2011,1.6373240541784007,1.1373751954202764
CHN,CHL,2011,1.7069976706329228,1.4032815017075135
COL,CHL,2011,2.130243101322739,1.5693165316091668
EU,CHL,2011,1.3902135377379663,1.1216305943045874
IDN,CHL,2011,3.3242981527185633,2.1658422868544256
IND,CHL,2011,4.036621831553964,2.7876189650836727
ISR,CHL,2011,2.272133024150041,1.3663148169313375
JPN,CHL,2011,1.2401225024780351,0.9072418111243845
