i_iso3,j_iso3,year,tau,tauAlt
AUT,AUS,2011,2.8696617849597774,1.8848606465221998
BGR,AUS,2011,6.142207266998866,3.3383734584402873
BNL,AUS,2011,2.1309767964055677,1.696704625996997
BRA,AUS,2011,3.1265995598486933,1.9567021917037752
CAN,AUS,2011,2.434351778088235,1.642284877957945
CHL,AUS,2011,3.381561860076959,2.1867831774314817
CHN,AUS,2011,2.4679011106020727,2.0217124840170486
COL,AUS,2011,6.051213722432671,3.1570049797378834
CYP,AUS,2011,4.71290422432084,2.601409871653716
CZE,AUS,2011,3.7161072230145007,2.357925440111115
DEU,AUS,2011,2.158486926181911,1.6665002392428299
DNK,AUS,2011,2.3547103145413324,1.569491229980279
ELL,AUS,2011,4.226147071447444,2.551635187695003
ESP,AUS,2011,3.0045359066795863,2.039127088513229
FIN,AUS,2011,2.8004916901660217,1.8091966564314972
FRA,AUS,2011,2.3711516139971662,1.7230120723505657
GBR,AUS,2011,2.483841991004847,1.8395066893783405
GRC,AUS,2011,3.8651633585400678,2.2081181782665436
HUN,AUS,2011,3.979686911523263,2.5687748636875707
IDN,AUS,2011,3.6655493088157676,2.7006148503044436
IND,AUS,2011,5.591001506939895,3.915095895216741
IRL,AUS,2011,2.6151572912785572,1.7829768416251608
ISR,AUS,2011,2.915236649305847,1.8229982211815998
ITA,AUS,2011,2.403224662099079,1.7182179493138352
JPN,AUS,2011,1.6296818775925757,1.2380392544800403
KOR,AUS,2011,2.4240670066454872,1.808578939988381
MEX,AUS,2011,3.728069598592292,2.5379194582641813
MYSG,AUS,2011,2.4259396905107318,2.011659427249359
NZL,AUS,2011,2.2139045180043,1.6129207324725705
PER,AUS,2011,5.151394990510483,2.900818639578061
PHL,AUS,2011,5.785946993821182,3.6177737669494485
POL,AUS,2011,4.533674792796831,2.84462201325039
PRT,AUS,2011,4.150907238829354,2.392489448979609
ROU,AUS,2011,5.701860483001109,3.138281741632929
RoW,AUS,2011,2.507916829131345,2.046193344880712
RUS,AUS,2011,4.514536670174443,2.9071021012831313
SVK,AUS,2011,3.904976290838008,2.430347760898527
SVN,AUS,2011,4.386995488055671,2.5252468139123656
SWE,AUS,2011,2.2899285194518684,1.5971773384098247
THA,AUS,2011,3.7458284155914487,2.8619497365022855
TUR,AUS,2011,4.024841635561871,2.4896561437809948
USA,AUS,2011,2.386324788504761,1.897871323574054
VNM,AUS,2011,4.858214926472369,3.5232889278321506
ZAF,AUS,2011,3.836805341720945,2.4774327111409047
AUS,AUT,2011,2.582844684707126,1.5121862243631077
BGR,AUT,2011,3.24490245688537,2.2291672497832775
BNL,AUT,2011,1.4114172936386116,1.27457012248667
BRA,AUT,2011,2.3345726702357052,1.5352425502680562
CAN,AUT,2011,2.2633580438445304,1.4925507553948338
CHL,AUT,2011,3.2622682104411296,1.9626381955072654
CHN,AUT,2011,2.288834513617157,1.7957377294627601
COL,AUT,2011,4.576592397161481,2.489945984690675
CYP,AUT,2011,2.602035916000123,1.7782596089808325
