i_iso3,j_iso3,q025,q500,q975
AUT,AUS,2.6570204122433667,2.8711268560464305,3.0915159879852645
BGR,AUS,5.631279258605124,6.130870778450927,6.633277843131004
BNL,AUS,1.9170799279320536,2.127765577646695,2.3239845688683647
BRA,AUS,2.8470030126325176,3.139665766518128,3.4410869468921677
CAN,AUS,2.2944363549471767,2.4400525378268503,2.5847233461083174
CHL,AUS,3.1458063634689566,3.3891949127863654,3.6608551915989347
CHN,AUS,2.2210171687214393,2.477159446252651,2.732461775134556
COL,AUS,5.4552208222490135,6.077912008882685,6.772927722714204
CYP,AUS,4.21391404656301,4.716371864878347,5.17939596728701
CZE,AUS,3.4690413310285684,3.7264100222970606,3.996674635856592
DEU,AUS,1.9989997847255725,2.160050778931026,2.312174366665037
DNK,AUS,2.166365109931959,2.347759898521897,2.5529292797355483
ELL,AUS,3.888236014501208,4.245925216967416,4.556970137312035
ESP,AUS,2.807671693441181,3.0045682617494056,3.2190211072817108
FIN,AUS,2.6172216991769965,2.802265606115514,2.99431653150139
FRA,AUS,2.212573396385508,2.3726773674039965,2.541831360077856
GBR,AUS,2.306429145876686,2.4868287720461906,2.6642567783852664
GRC,AUS,3.576651831486746,3.867073939688182,4.156515928382383
HUN,AUS,3.6258921717771355,3.969978374698065,4.331791476106878
IDN,AUS,3.274654799606012,3.674624841547903,4.063829749577077
IND,AUS,4.941434481454114,5.604520827087072,6.3708745863514045
IRL,AUS,2.431361500822219,2.616238477990275,2.7946222099539377
ISR,AUS,2.6852577135561946,2.910142476366552,3.1577071267461836
ITA,AUS,2.238535871204452,2.4100505247220356,2.5708868415149797
JPN,AUS,1.4887325142018855,1.6315872295108318,1.7933012751611164
KOR,AUS,2.2102364085584076,2.426200743613893,2.655903564530201
MEX,AUS,3.458099642912165,3.7377435506885033,3.977378908013538
MYSG,AUS,2.1984316245990905,2.4236017911744927,2.6888641386697785
NZL,AUS,2.0682895776451304,2.2101827786063035,2.382592997155385
PER,AUS,4.689636822289145,5.156171828918815,5.668203595748545
PHL,AUS,5.175183588357392,5.794292295928509,6.474315400077624
POL,AUS,4.186934128871794,4.5391969288348,4.863486896855294
PRT,AUS,3.84459132804041,4.162733780815879,4.467740397334911
ROU,AUS,5.289268271676578,5.711218872317978,6.166013958627571
RoW,AUS,2.324814556156182,2.495361217592314,2.695901297526134
RUS,AUS,4.170379239343752,4.507207983968511,4.864350716781584
SVK,AUS,3.578881746126415,3.9135137138502474,4.235623856367476
SVN,AUS,4.036021631502588,4.396729073839058,4.77871870929287
SWE,AUS,2.1268301050624516,2.293898292861624,2.450068809480593
THA,AUS,3.3363211170287177,3.746320738849068,4.174598318524966
TUR,AUS,3.665841743138568,4.03102184899946,4.366861279112353
USA,AUS,2.274789431369672,2.391852797530918,2.494520346077865
VNM,AUS,4.303717443187067,4.85204820135154,5.5443770522230995
ZAF,AUS,3.467636416486436,3.843180243635841,4.2250215665767
AUS,AUT,2.416965462638557,2.582317198206878,2.7661825354732956
BGR,AUT,2.9821868928518263,3.234535076567373,3.5065335415176473
BNL,AUT,1.281622485479168,1.405970912857239,1.5404740810668895
BRA,AUT,2.1303490059151704,2.33715753712219,2.564726616190497
CAN,AUT,2.1087909681556116,2.257796620774706,2.4168139763636
CHL,AUT,3.0180952277238693,3.259429881009316,3.50170279187413
CHN,AUT,2.066098128959263,2.288866734872958,2.5301659571435637
COL,AUT,4.085469104929208,4.56619283361284,5.098323741285779
CYP,AUT,2.3266867900799557,2.598492613485635,2.8525276385980964
CZE,AUT,1.7755810487910533,1.9131552621458003,2.057851332386179
DEU,AUT,1.166937583845953,1.2640861717194256,1.3719242220466406
DNK,AUT,1.7725297863512772,1.9321812189229153,2.1109317576927835
ELL,AUT,2.671409460591399,2.9063888920695993,3.1475992745711636
ESP,AUT,2.0239628920406756,2.173849254712409,2.3173091252678177
FIN,AUT,2.074259005102007,2.2231814603144375,2.3916232129921338
FRA,AUT,1.685071990461062,1.814841361099881,1.9492474389345982
GBR,AUT,2.0076368431927007,2.1628544497912623,2.3169626025690677
GRC,AUT,2.5138106086389564,2.721705020881614,2.936946810355391
HUN,AUT,1.8989624782602899,2.08201812966671,2.2626234309323023
IDN,AUT,3.6572223753291717,4.1012733246067095,4.6147670987526626
IND,AUT,4.236304372598649,4.830965953831651,5.559374101584735
IRL,AUT,2.1336062499754,2.2987511589279688,2.4704305813584333
ISR,AUT,2.3445144419565063,2.549236782048424,2.7527291517673986
ITA,AUT,1.5135540955980549,1.616411429266489,1.7328332881211581
JPN,AUT,1.4338495729168446,1.5819932239689463,1.7321511477702853
KOR,AUT,2.2329478050844767,2.4489301328394992,2.6681156200199427
MEX,AUT,3.3621584391959565,3.6095315213989227,3.900761739097759
MYSG,AUT,2.691858887292001,2.963004106272126,3.300295942151405
NZL,AUT,2.6699020494032055,2.8851274722969285,3.1124021163157765
PER,AUT,4.4269873691781685,4.8458656034219185,5.346251205684455
PHL,AUT,4.21565535767536,4.6903869021305065,5.259797512097032
POL,AUT,2.37835782595905,2.562070245287057,2.7714103574044553
PRT,AUT,2.452386687924391,2.6223560808317665,2.8379339289429453
ROU,AUT,2.509127312848764,2.7321652801523966,2.945383471252581
RoW,AUT,1.790417958210767,1.9355478507654111,2.091196653135369
RUS,AUT,2.8741369945412933,3.1267747738362752,3.389187201217756
SVK,AUT,1.6798575794006745,1.8330090863971835,1.9889113442124944
SVN,AUT,1.8371210912108489,2.0082053288376205,2.1707174209185514
SWE,AUT,1.6674822243633352,1.7944172744104225,1.9397471018530732
THA,AUT,3.635123166989566,4.083133979702772,4.559185954628048
TUR,AUT,2.4220246269365964,2.6534944146697335,2.925864061896939
USA,AUT,2.1590684550131742,2.2692343261579895,2.3872134064247286
VNM,AUT,3.9679181845440596,4.501577668852244,5.18456337254465
ZAF,AUT,3.000462220722923,3.3328155941459743,3.6617361446775636
AUS,BGR,1.8749418928207302,2.016804521286294,2.1912844248873693
AUT,BGR,1.1114040772078027,1.2104424484683682,1.3106317862532426
BNL,BGR,0.9487839206172612,1.0601465486063706,1.1676996094054817
BRA,BGR,1.386018099774391,1.5212979721036453,1.675921517448304
CAN,BGR,1.5553464052360773,1.6675417510443462,1.7925223673140243
CHL,BGR,1.9553564026888317,2.1151645282692124,2.3039330304266117
CHN,BGR,1.605829797831757,1.7751693031340974,1.9836270307650554
COL,BGR,5.126799803953903,5.739913918915041,6.500281665282387
CYP,BGR,1.2934795645946529,1.4472271902995797,1.593237036433681
CZE,BGR,1.4417460577831693,1.559141271474223,1.6963435940961689
DEU,BGR,1.0274907567231821,1.1050657785657525,1.2046944260406296
DNK,BGR,1.2997773880214998,1.4162556439953415,1.5491159233157035
ELL,BGR,1.7668201672378663,1.9244800630759535,2.0960963677772537
ESP,BGR,1.135759746115395,1.2206456784915543,1.3213209625471396
FIN,BGR,1.5735613385982385,1.706093737346243,1.8332996493384264
FRA,BGR,1.219638274464058,1.3137804770645791,1.4250274899596982
GBR,BGR,1.4531049469354589,1.56783212657963,1.6958176519063561
GRC,BGR,1.1200922992379685,1.2187780180716046,1.3071079697676586
HUN,BGR,1.3769856311109436,1.5120836456851254,1.6536122407261222
IDN,BGR,2.6777668471744995,3.023156144771363,3.3786776938897805
IND,BGR,3.2400284352551365,3.7235763054008317,4.25438320502561
IRL,BGR,1.59123769612244,1.7166544927411653,1.855883512641252
ISR,BGR,1.3309862990083985,1.4475135896219702,1.5823794959582176
ITA,BGR,1.0865096286285623,1.1719802690978147,1.260649486875605
JPN,BGR,1.29258904969377,1.4203408209080157,1.5684662128347926
KOR,BGR,1.578097159056022,1.7437382839325464,1.9225547541763823
MEX,BGR,2.738572357132635,2.962952162809173,3.210896527314711
MYSG,BGR,1.9695003257731876,2.1951370561821593,2.4548840412492807
NZL,BGR,2.367091934846244,2.553773706176705,2.780449573822041
PER,BGR,1.8605519484730637,2.0631637655419572,2.3001428447486396
PHL,BGR,3.378953381805969,3.795868073780513,4.275688645228995
POL,BGR,1.7358751791696705,1.8803934948081296,2.045682541839893
PRT,BGR,1.817158718564707,1.9616369013762633,2.1246181812978353
ROU,BGR,1.376233426235827,1.497954771101322,1.6323517469444098
RoW,BGR,1.251291337890827,1.3606951396527185,1.4826670945344145
RUS,BGR,1.3858016585467847,1.5076243350859961,1.6526743804427673
SVK,BGR,1.370836321726388,1.490794401645327,1.6255071136782615
SVN,BGR,1.4525657626059414,1.5918106829195868,1.7270986704427436
SWE,BGR,1.3178668645099165,1.4194567949403225,1.5342309785979014
THA,BGR,3.0119172208926885,3.36352113035389,3.7621511448127083
TUR,BGR,1.378760702106027,1.51329758338761,1.6635151940532285
USA,BGR,1.8273825665947203,1.9314307781646045,2.051857574360182
VNM,BGR,3.3889765355998827,3.8490324376328044,4.463847735789984
ZAF,BGR,2.3795150543687216,2.6570995661366412,2.957028596950558
AUS,BNL,1.6023556672241481,1.7148479089820357,1.8473814895392124
AUT,BNL,1.7618329242671436,1.8991400304857802,2.039743846552756
BGR,BNL,2.816030618830524,3.0534227319539173,3.320686779073063
BRA,BNL,1.5880000780579884,1.7341415452176019,1.9011235423869906
CAN,BNL,1.6446632090915154,1.7580336827205825,1.8629524323257585
CHL,BNL,2.0705277289712276,2.2330943697527337,2.405625636934886
CHN,BNL,1.7509085001432056,1.9453195440719404,2.154602261887838
COL,BNL,2.468965188759605,2.7501615139635827,3.093823928130086
CYP,BNL,2.2960330409435477,2.5666735747541534,2.81189104032406
CZE,BNL,1.9157328440796584,2.0580796884698467,2.2179607312319187
DEU,BNL,1.1938209492104053,1.2911873928176179,1.3963429053237237
DNK,BNL,1.5054551339259656,1.6325435154629568,1.7710018752541608
ELL,BNL,2.0751762654095165,2.242446441549423,2.430387726557253
ESP,BNL,1.7739752926545802,1.8985287419131602,2.0281946232059127
FIN,BNL,1.6629485812437792,1.7841751378834771,1.910745624534979
FRA,BNL,1.335462043448297,1.4263666324465722,1.529927758007262
GBR,BNL,1.477404902389338,1.5832394385024426,1.6943055130918507
GRC,BNL,2.3336436849443354,2.521321255635285,2.7125847870750417
HUN,BNL,2.2140261090676843,2.4233900756016453,2.6384496853891606
IDN,BNL,2.6894535332866307,3.0517564813819247,3.4057565097947156
IND,BNL,3.3111607848516558,3.7885004240019597,4.3213274129369506
IRL,BNL,1.4994212615091571,1.6070482010203508,1.728688671763404
ISR,BNL,1.7228638270273517,1.8730732520900693,2.028112030624788
ITA,BNL,1.5421133222363448,1.6451497551817993,1.747880137666836
JPN,BNL,1.1961006319246263,1.3093462015114337,1.4333116704319513
KOR,BNL,1.9036535523241946,2.08462624755066,2.2925562914973154
MEX,BNL,2.6248601514583125,2.8202660526207355,3.020498925312274
MYSG,BNL,1.8926186544243562,2.089971227635232,2.322219601966612
NZL,BNL,2.1704096849612373,2.3279496877787356,2.5097998609991743
PER,BNL,2.775217214881179,3.060787699367814,3.387194618533507
PHL,BNL,3.518625286203927,3.916096486058807,4.3845957958455415
POL,BNL,2.275152059836953,2.4679640747901717,2.654313085714832
PRT,BNL,2.121563425462668,2.2637617919381245,2.4424644328740075
ROU,BNL,2.640349354369689,2.859429539601444,3.0893393078291695
RoW,BNL,1.5966715939581264,1.7171774483465239,1.849718005197284
RUS,BNL,1.9653203282099503,2.1244797512056355,2.308656857125107
SVK,BNL,2.065540655953575,2.2405246883569636,2.4253571689754847
SVN,BNL,2.3608157622077983,2.571627503947472,2.78834918602295
SWE,BNL,1.4049201885409472,1.5056499898273303,1.6208065242520724
THA,BNL,2.9759120679836455,3.313841398127572,3.6941067485791317
TUR,BNL,2.2107178052404945,2.398998244765056,2.6228277086199685
USA,BNL,1.7326901015793013,1.812525311226913,1.8993062840916168
VNM,BNL,3.475323187752386,3.9318672674187374,4.490546181983366
ZAF,BNL,2.1752819557852354,2.395368517548079,2.642767944945568
AUS,BRA,1.9372950259033412,2.119764374127274,2.3301805932516957
AUT,BRA,2.191869422632454,2.4157637294236722,2.655367272622146
BGR,BRA,4.542331058671036,5.019438697683338,5.5440602711458125
BNL,BRA,1.663019949931974,1.8663869678683944,2.0754389486035887
CAN,BRA,1.8468006730656972,2.029142094429691,2.206313113005993
CHL,BRA,2.1887095023697287,2.429056187724351,2.678088154122348
CHN,BRA,1.9705266155951224,2.2169890598527013,2.4851993711552147
COL,BRA,3.0222286929857356,3.4130002091167357,3.8539367868120893
CYP,BRA,5.210398273841715,5.934929199772836,6.607319898456357
CZE,BRA,2.9839124123184577,3.2999797814986707,3.629317855922787
DEU,BRA,1.6995102585811626,1.8814336489239865,2.0658087505865104
DNK,BRA,2.0459807750450776,2.2666323495262994,2.5076616290872895
ELL,BRA,3.5621785143232745,3.946677581086052,4.372321571363523
ESP,BRA,2.297782422554629,2.525765656846815,2.745187548667666
FIN,BRA,2.3799554161256053,2.602951809626199,2.8481487687931373
FRA,BRA,1.9638734370671256,2.1787979082255546,2.3830419334721635
GBR,BRA,2.2808727909679622,2.496348092550532,2.732015387651595
GRC,BRA,3.381208817983671,3.7167833810934954,4.072519260356314
HUN,BRA,3.3636906691189163,3.777011803154277,4.1633524074397865
IDN,BRA,3.2366204140919796,3.6993773462760537,4.188336921056569
IND,BRA,3.7752444270723684,4.313549395556364,5.018702584017114
IRL,BRA,2.5892245429090446,2.837080078379006,3.0919821435482495
ISR,BRA,2.219538129473785,2.441506637547534,2.7010204039320795
ITA,BRA,1.9328303609922974,2.1262028659122207,2.320212676134804
JPN,BRA,1.423115043441558,1.591806266690972,1.775664788444003
KOR,BRA,1.7425299338592826,1.9630394337752832,2.1837050356052203
MEX,BRA,2.6645609668200785,2.928164598907277,3.200655726649282
MYSG,BRA,2.4331016346220213,2.7461738563582445,3.111314697429236
NZL,BRA,3.5606571761797445,3.925333748659602,4.305342282998432
PER,BRA,3.1392168622728422,3.508311114300713,3.9352795315708184
PHL,BRA,4.742295462004713,5.3831458139353,6.052344298297929
POL,BRA,3.702396375931193,4.088237728059559,4.487773387122785
PRT,BRA,2.658533891919839,2.9191548479561034,3.200222703003975
ROU,BRA,3.9675153147974647,4.365840504558795,4.762176939196588
RoW,BRA,1.8288057023822715,2.01085604387121,2.2036139890530273
RUS,BRA,3.004243853420566,3.310533791710366,3.6695474121364327
SVK,BRA,3.1869006852728226,3.5309135424865703,3.920087865738198
SVN,BRA,3.5115750609823806,3.9191596250579916,4.2890824804338346
SWE,BRA,1.9530610679919271,2.143189024791197,2.3419844440007704
THA,BRA,3.4471954927711783,3.9101571054015927,4.455966663309953
TUR,BRA,2.932034563709734,3.2961503283843188,3.6380238623933123
USA,BRA,1.9079917987912076,2.0669125481496513,2.2239585174948333
VNM,BRA,4.365079254980004,5.039391209222249,5.770001113033969
ZAF,BRA,3.0678485483819,3.4364417369225158,3.859173760560454
